Config_21,Config_130,Config_63,Config_105,Config_152,Unnamed: 5,Metric,Value (seconds)
0.0033143,0.0050279,0.0052282,0.0067632,0.0055201,,,
0.0031593,0.0059267,0.0055011,0.0067745,0.0071237,,,
0.0034214,0.0073674,0.0106806,0.0276428,0.0942268,,,
0.0032972,0.0077689,0.0072167,0.0096779,0.1493762,,,
0.0055765,0.0075137,0.0056813,0.0107057,0.00615,,,
0.0034007,0.004739,0.0055877,0.0153567,0.006549,,,
0.0033135,0.0303535,0.0055251,0.0067966,0.0064609,,,
0.0034242,0.0053299,0.0078753,0.0057292,0.0071137,,,
0.0031701,0.0064469,0.0151202,0.0260893,0.0266966,,,
0.0030537,0.0064604,0.0051985,0.0093142,0.0058361,,,
0.0031178,0.0133816,0.0067204,0.0094633,0.0059739,,,
0.0033238,0.0051877,0.0059382,0.0079996,0.0072663,,,
0.0034468,0.0051563,0.0086174,0.0146381,0.1014961,,,
0.0032957,0.0062707,0.0203418,0.0656092,0.2517356,,,
0.0032912,0.0051299,0.0072954,0.0048267,0.0058063,,,
0.0040667,0.0047288,0.0077484,0.0054886,0.007339,,,
0.0034849,0.0077539,0.0195926,0.0268576,0.1436424,,,
0.0033326,0.0050478,0.0056214,0.0051436,0.0073293,,,
0.0038051,0.0074715,0.0084654,0.0262196,0.23625,,,
0.0036745,0.0051025,0.0065215,0.0056357,0.0069645,,,
0.0041181,0.0050616,0.0055044,0.0066183,0.0064288,,,
0.0032589,0.0072125,0.0287119,0.0354759,0.0217564,,,
0.0032241,0.0050801,0.0121733,0.005171,0.0075134,,,
0.0032572,0.008208,0.0086572,0.018271,0.0680818,,,
0.0038381,0.0074949,0.0078008,0.0048187,0.0059923,,,
0.0034218,0.0060517,0.00958,0.004695,0.0072982,,,
0.0032535,0.0055783,0.0058703,0.0071322,0.006606,,,
0.0034035,0.0053531,0.0058042,0.005207,0.0066146,,,
0.0031843,0.0065313,0.0252226,0.0239417,0.0180798,,,
0.003319,0.0064373,0.0089108,0.0260018,0.0182083,,,
0.0033034,0.0079158,0.0111776,0.0079299,0.0650768,,,
0.0033395,0.0060292,0.025198,0.00509,0.0112451,,,
0.0031026,0.0081091,0.0232156,0.0059685,0.0191527,,,
0.0043827,0.0060616,0.0097579,0.0066048,0.0178975,,,
0.0032249,0.007559,0.005951,0.0074118,0.0065295,,,
0.0033281,0.0071273,0.0247892,0.0286476,0.066399,,,
0.0032282,0.005503,0.0050453,0.0076376,0.0175432,,,
0.0033082,0.004847,0.0055562,0.0100368,0.0066756,,,
0.003365,0.0050105,0.0049947,0.0067006,0.0056132,,,
0.0031272,0.0052852,0.0054015,0.0054916,0.006071,,,
0.003239,0.0086721,0.0088148,0.0446523,0.0224234,,,
0.0035041,0.0093422,0.0333986,0.0621706,0.5933764,,,
0.004124,0.0068534,0.0782969,0.0078544,0.1503005,,,
0.0039016,0.0062918,0.0089058,0.0234705,0.2795271,,,
0.0035624,0.006074,0.0051962,0.0064266,0.0058095,,,
0.0031572,0.0158611,0.0169176,0.0715724,0.2035343,,,
0.0036276,0.007407,0.0193944,0.0643978,0.3163963,,,
0.0032635,0.0046978,0.0067111,0.0050523,0.0068236,,,
0.0034036,0.0050647,0.0052787,0.0065333,0.0059839,,,
0.0032497,0.0068567,0.0207406,0.0116725,0.0701793,,,
0.0035678,0.0097926,0.0069653,0.0070251,0.0063384,,,
0.0032189,0.0059774,0.0057568,0.0076895,0.0058079,,,
