f1,f2,f3,f4,a1,a2,a3,a4,Kaibel Column (Configuration 21),Agrawal Column (Configuration 130),Configuration 63 (ABC Absent),Configuration 105 (BCD Absent),Sargent Column (Configuration 152)
5,10,80,5,15.625,6.25,2.5,1,208.3006126375989,158.73454679696832,170.7994052995973,153.62339791037485,153.62339792715943
5,15,5,75,15.625,6.25,2.5,1,70.19931750890146,66.16624159963368,66.63837854521967,64.93187817208275,64.93187818862802
5,15,10,70,15.625,6.25,2.5,1,82.80403523111966,75.39765638298596,76.40168623166733,73.35194062575061,73.35194064229933
5,15,15,65,15.625,6.25,2.5,1,94.01496992305692,83.41665121629677,84.99393175296981,80.72104985426745,80.72104987083179
5,15,20,60,15.625,6.25,2.5,1,104.49083806441564,90.77791517455424,92.96145850627664,87.52951403456768,87.5295140511447
5,15,25,55,15.625,6.25,2.5,1,114.50756033287206,97.71650392819257,100.53401761133577,93.98352006902098,93.98352008561116
5,15,30,50,15.625,6.25,2.5,1,124.20990261083824,104.35735981079986,107.83272434587909,100.19176115558477,100.19176117219104
5,15,35,45,15.625,6.25,2.5,1,133.68400464756937,110.7759011866392,114.9300431966823,106.21926952595658,106.2192695425804
5,15,40,40,15.625,6.25,2.5,1,142.98547869075531,117.02157778851983,121.8730476026011,112.10829057399852,112.10829059063613
5,15,45,35,15.625,6.25,2.5,1,152.1523543317923,123.1287641428751,128.69414681130345,117.88790952198653,117.88790953863239
5,15,50,30,15.625,6.25,2.5,1,161.21177733854674,129.12242092197766,135.41664388561838,123.57903937500012,123.57903939167119
5,15,55,25,15.625,6.25,2.5,1,170.18378058122593,135.02129710486977,142.0578691005279,129.19723294392958,129.19723296061824
5,15,60,20,15.625,6.25,2.5,1,179.0835470640527,140.83986195012903,148.631063678595,134.75437337740243,134.7543733939393
5,15,65,15,15.625,6.25,2.5,1,187.92283826057232,146.58953160972854,155.1465711507619,140.2597433308876,140.25974334759863
5,15,70,10,15.625,6.25,2.5,1,196.71093316244446,152.27948082742398,161.61262243194344,145.72072952340005,145.7207295401282
5,15,75,5,15.625,6.25,2.5,1,205.4552668206213,157.9171987954781,168.03587106340717,151.1433030815394,151.14330309828213
5,20,5,70,15.625,6.25,2.5,1,71.75591079701798,66.81655669109503,67.22543908955754,65.11684703664872,65.11684705320602
5,20,10,65,15.625,6.25,2.5,1,85.43196014975845,76.92399653962914,77.8034253927369,74.26803132583143,74.26803134239793
5,20,15,60,15.625,6.25,2.5,1,97.28146766617613,85.47575219492339,86.86726963796048,82.06037017838023,82.06037019496213
5,20,20,55,15.625,6.25,2.5,1,108.21900711213803,93.23229956329138,95.16930065061956,89.16903048888523,89.16903050548251
5,20,25,50,15.625,6.25,2.5,1,118.5990014406226,100.49094244381459,103.00174867761743,95.85627017124304,95.85627018785397
5,20,30,45,15.625,6.25,2.5,1,128.6009263509676,107.40372042922769,110.51301590241331,102.25527067211667,102.25527068874527
5,20,35,40,15.625,6.25,2.5,1,138.3295115594461,114.06032692765916,117.78998854497343,108.44400680432736,108.44400682097242
5,20,40,35,15.625,6.25,2.5,1,147.85159689537866,120.51869057015722,124.88832932154975,114.47243228773735,114.47243230423834
5,20,45,30,15.625,6.25,2.5,1,157.21257608201807,126.81865852631844,131.84600099003353,120.3746162636275,120.37461628023522
5,20,50,25,15.625,6.25,2.5,1,166.44472337883812,132.98894681648292,138.69011906396182,126.17489316748916,126.1748931841729
5,20,55,20,15.625,6.25,2.5,1,175.57180869944816,139.05100567325272,145.44075308274859,131.89127412453465,131.89127414123246
5,20,60,15,15.625,6.25,2.5,1,184.6118358233452,145.0213214854912,152.11318408961773,137.5374728913942,137.53747290811066
5,20,65,10,15.625,6.25,2.5,1,193.57875594089245,150.91286325616022,158.7193188810505,143.12417505464524,143.12417507137513
5,20,70,5,15.625,6.25,2.5,1,202.4835869857852,156.73603172952105,165.2686149869601,148.65986814113347,148.6598681578822
